id;anio;titulo;subtitulo_div;categoria;relevancia;slug;post_url;pdf_url;archivo;bytes;paginas;chars;estado
2717;2022;Ord.019.022 Por la cual se establece las normas para el manejo y proteccion del bosque urbano de CDE_0;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord019022-por-la-cual-se-establece-las-normas-para-el-manejo-y-proteccion-del-bosque-urbano-de-cde0;https://mcde.gov.py/post/ord019022-por-la-cual-se-establece-las-normas-para-el-manejo-y-proteccion-del-bosque-urbano-de-cde0;https://mcde.gov.py/api/v1/public/file/0b3c7fdeca4550e2655cf56d5eb08a7d7d53a5003bbaf23619bf1432;03_PDF_Originales/2022/2717_ord019022-por-la-cual-se-establece-las-normas-para-el-manejo-y-proteccion-del-bosque-urban.pdf;681293;5;20039;ok
2718;2022;Ord.020.022 Por la cual se establece el reglamento general de transito en el distrito de Ciudad del Este;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord020022-por-la-cual-se-establece-el-reglamento-general-de-transito-en-el-distrito-de-ciudad-del-este;https://mcde.gov.py/post/ord020022-por-la-cual-se-establece-el-reglamento-general-de-transito-en-el-distrito-de-ciudad-del-este;https://mcde.gov.py/api/v1/public/file/6dd840dfe32d45a316abdce57c57e19d36b309a94b43aefb7eab1798;03_PDF_Originales/2022/2718_ord020022-por-la-cual-se-establece-el-reglamento-general-de-transito-en-el-distrito-de-ciu.pdf;7724313;90;355729;ok
2719;2022;Ord.021.022 Por la cual se amplia el presupuesto de la municipalidad ingresos, egresos, jornales y otros;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord021022-por-la-cual-se-amplia-el-presupuesto-de-la-municipalidad-ingresos-egresos-jornales-y-otros;https://mcde.gov.py/post/ord021022-por-la-cual-se-amplia-el-presupuesto-de-la-municipalidad-ingresos-egresos-jornales-y-otros;https://mcde.gov.py/api/v1/public/file/55c38ea5d5feeb4b53c8e0c9825af85b8567c438f3cdf9927f73eac9;03_PDF_Originales/2022/2704_ord005022-nuevo-costo-del-pasaje-del-servicio-de-transporte-de-pasajero-de-caracter-urbano.pdf;152379;0;0;duplicado_pdf
2720;2022;Ord.022.022 Por la Cual se denomina como Calixto Vazquez  la calle ubicado en el km, 6 y 7 Monday_0;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord022022-por-la-cual-se-denomina-como-calixto-vazquez-la-calle-ubicado-en-el-km-6-y-7-monday0;https://mcde.gov.py/post/ord022022-por-la-cual-se-denomina-como-calixto-vazquez-la-calle-ubicado-en-el-km-6-y-7-monday0;https://mcde.gov.py/api/v1/public/file/6e66ca3b75dedfcd136cd92859fdaa434a5e798ffa7619eb7c403788;03_PDF_Originales/2022/2720_ord022022-por-la-cual-se-denomina-como-calixto-vazquez-la-calle-ubicado-en-el-km-6-y-7-mon.pdf;152230;1;3327;ok
2721;2022;Ord.023.022 Por la cual se modifica y amplia la ordenanza 41.97 que reglamenta el servicio de transporte publico de pasajeros en el Distrito de Ciudad del Este;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord023022-por-la-cual-se-modifica-y-amplia-la-ordenanza-4197-que-reglamenta-el-servicio-de-transporte-publico-de-pasajeros-en-el-distrito-de-ciudad-del-este;https://mcde.gov.py/post/ord023022-por-la-cual-se-modifica-y-amplia-la-ordenanza-4197-que-reglamenta-el-servicio-de-transporte-publico-de-pasajeros-en-el-distrito-de-ciudad-del-este;https://mcde.gov.py/api/v1/public/file/d9aaa024e14ee1c24459824f5a6f3aea09590e54e27d8e54826fe5a7;03_PDF_Originales/2022/2721_ord023022-por-la-cual-se-modifica-y-amplia-la-ordenanza-4197-que-reglamenta-el-servicio-de.pdf;421324;4;11175;ok
2722;2022;Ord.024.022 Por la cual se modifica el precio del pasaje a 4000 en CDE de fecha 3.08.22_0;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord024022-por-la-cual-se-modifica-el-precio-del-pasaje-a-4000-en-cde-de-fecha-308220;https://mcde.gov.py/post/ord024022-por-la-cual-se-modifica-el-precio-del-pasaje-a-4000-en-cde-de-fecha-308220;https://mcde.gov.py/api/v1/public/file/695f864e0df7ad177f69b616602f87fb558f2b8f7563fff7274cb97a;03_PDF_Originales/2022/2722_ord024022-por-la-cual-se-modifica-el-precio-del-pasaje-a-4000-en-cde-de-fecha-308220.pdf;174031;2;3532;ok
2723;2022;Ord.025.022 Por la cual se declara barrio historico a barrio obrero, primer barrio de CDE_0;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord025022-por-la-cual-se-declara-barrio-historico-a-barrio-obrero-primer-barrio-de-cde0;https://mcde.gov.py/post/ord025022-por-la-cual-se-declara-barrio-historico-a-barrio-obrero-primer-barrio-de-cde0;https://mcde.gov.py/api/v1/public/file/736aed5bab2ea3c4ab228df2ce9d595e444608c51412362a37f09d4b;03_PDF_Originales/2022/2723_ord025022-por-la-cual-se-declara-barrio-historico-a-barrio-obrero-primer-barrio-de-cde0.pdf;571507;4;16955;ok
2724;2022;Ord.026.022 Por la cual se amplia TRANSFERENCIA RECIBIDA DEL MINISTERIO DE HACIENDA FONDOS REMANENTES DE FONACIDE Y ROYALTIES CORRESPONDIENTE AL AÑO 2021;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord026022-por-la-cual-se-amplia-transferencia-recibida-del-ministerio-de-hacienda-fondos-remanentes-de-fonacide-y-royalties-correspondiente-al-ano-2021;https://mcde.gov.py/post/ord026022-por-la-cual-se-amplia-transferencia-recibida-del-ministerio-de-hacienda-fondos-remanentes-de-fonacide-y-royalties-correspondiente-al-ano-2021;https://mcde.gov.py/api/v1/public/file/cd9d99b8e3d50f4b04100546915b371d8284ab0ca31df202ffdae393;03_PDF_Originales/2022/2724_ord026022-por-la-cual-se-amplia-transferencia-recibida-del-ministerio-de-hacienda-fondos-r.pdf;302634;2;7185;ok
2725;2022;Ord.027.022 Por la cual se reglamenta las disposiciones de los art. 227 y 229 de la ley 3966 sobre dimensiones minimas de lotes y calles y avenidas;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord027022-por-la-cual-se-reglamenta-las-disposiciones-de-los-art-227-y-229-de-la-ley-3966-sobre-dimensiones-minimas-de-lotes-y-calles-y-avenidas;https://mcde.gov.py/post/ord027022-por-la-cual-se-reglamenta-las-disposiciones-de-los-art-227-y-229-de-la-ley-3966-sobre-dimensiones-minimas-de-lotes-y-calles-y-avenidas;https://mcde.gov.py/api/v1/public/file/a758c0364d2e8fd3f0c5f95840150e028a0c5413d62e27c29b0b60d1;03_PDF_Originales/2022/2725_ord027022-por-la-cual-se-reglamenta-las-disposiciones-de-los-art-227-y-229-de-la-ley-3966-.pdf;364145;3;9990;ok
2726;2022;Ord.028.022 Por la cual se nombra con el nombre de San Roque Yrendague la plaza del km. 9 Monday;ORDENANZA 2022;Ordenanzas Junta Municipal 2022;;ord028022-por-la-cual-se-nombra-con-el-nombre-de-san-roque-yrendague-la-plaza-del-km-9-monday;https://mcde.gov.py/post/ord028022-por-la-cual-se-nombra-con-el-nombre-de-san-roque-yrendague-la-plaza-del-km-9-monday;https://mcde.gov.py/api/v1/public/file/3cf62c2c16964a94174bed6f71fdb878aa2cae83f46b7de9fa02b2be;03_PDF_Originales/2022/2726_ord028022-por-la-cual-se-nombra-con-el-nombre-de-san-roque-yrendague-la-plaza-del-km-9-mon.pdf;158325;2;3173;ok
